question,answer
What is the forecast percentage growth in London’s real Gross Value Added in 2025?,1.6
What was the percentage growth in London’s real Gross Value Added in 2024?,1.1
What is the forecast percentage growth in London’s real Gross Value Added in 2026?,1.7000000000000002
What is the forecast percentage growth in London’s real Gross Value Added in 2027?,1.9
What is the Bank of England’s forecast percentage growth in UK GDP in the year to Q4 2025?,1.2
What is the Bank of England’s forecast percentage growth in UK GDP in the year to Q4 2026?,1.3
What is the Bank of England’s forecast percentage growth in UK GDP in the year to Q4 2027?,1.5
What is the Bank of England’s forecast percentage growth in UK GDP in the year to Q4 2028?,1.7000000000000002
Around how many households are surveyed each year in the London Travel Demand Survey?,8000.0
How many households were in the 2024–25 London Travel Demand Survey sample?,8210.0
"In 2024–25, what was the average number of trips per person per day for London residents?",2.0
By what percentage was the 2024–25 trip rate below the 2019–20 trip rate?,9.0
By what percentage was the 2024–25 trip rate below the 2022–23 trip rate?,3.0
"What was the highest recorded London Travel Demand Survey trip rate in 2006–07, in trips per person per day?",2.64
"Between 2022–23 and 2023–24, to what value did the average trip rate fall in trips per person per day?",1.98
By what percentage is the average trip rate in 2024–25 below the 2006–07 high point?,24.0
"By what percentage did the proportion of London residents who did not leave home on the survey day increase, comparing pre- and post-pandemic three-year periods?",3.0
What percentage of London residents did not leave home on the survey day in the pre-pandemic three-year average?,22.0
What percentage of London residents did not leave home on the survey day in the post-pandemic three-year average?,25.0
By what percentage did men’s trip rates decrease between the pre- and post-pandemic three-year averages?,6.0
By what percentage did women’s trip rates decrease between the pre- and post-pandemic three-year averages?,7.0
"In 2024–25, what was the trip rate for those aged 17 to 24, in trips per person per day?",1.6400000000000001
"In 2024–25, what was the trip rate for those aged 25 to 44, in trips per person per day?",2.22
"In 2024–25, what was the trip rate for students, in trips per person per day?",1.65
"In 2024–25, what was the trip rate for part-time workers, in trips per person per day?",2.4
"In 2024–25, what was the trip rate for people in households with income under 25,000 pounds, in trips per person per day?",1.8399999999999999
"In 2024–25, what was the trip rate for people in households with income of 100,000 pounds or more, in trips per person per day?",2.2
"Between the pre- and post-pandemic three-year periods, by what percentage did trip rates decrease for households with incomes between 25,000 and 50,000 pounds?",10.0
By what percentage did the London Overground and National Rail trip rate increase between 2023–24 and 2024–25?,12.0
By what percentage did the London Underground and DLR trip rate increase between 2023–24 and 2024–25?,6.0
"In 2024–25, by what percentage was the London Underground and DLR trip rate below its 2019–20 level?",22.0
"In 2024–25, by what percentage was the bus and tram trip rate below its 2019–20 level?",14.0
"In 2024–25, by how many percentage points did the combined public transport mode share for London residents increase compared with 2023–24?",1.0
"What was the combined public transport mode share for London residents in 2024–25, in percentage?",28.0
"What was the combined public transport mode share for London residents in 2019–20, in percentage?",29.0
"What was the combined private mode share for London residents in 2024–25, in percentage?",32.0
"What was the active travel mode share for London residents in 2024–25, in percentage?",40.0
"What was the active, efficient and sustainable mode share for London residents in 2024–25, in percentage?",68.0
"What proportion of London residents’ trips in 2024–25 were for commuting, in percentage?",17.0
"What proportion of London residents’ trips in 2024–25 were for shopping and personal business, in percentage?",21.0
"What proportion of London residents’ trips in 2024–25 were for leisure, in percentage?",32.0
By what percentage did the proportion of commuting trips decrease between 2019–20 and 2022–23?,15.0
"What proportion of London resident workers were able to work from home in 2023–24, in percentage?",47.0
"What proportion of London resident workers were able to work from home in 2024–25, in percentage?",45.0
"What proportion of workers were encouraged to work from home in 2022–23, in percentage?",36.0
"What proportion of workers were encouraged to work from home in 2024–25, in percentage?",33.0
"In 2022–23, what proportion of London resident workers worked from home three or more days per week, in percentage?",27.0
"In 2024–25, what proportion of London resident workers worked from home three or more days per week, in percentage?",22.0
"In 2024–25, what proportion of workers were not able to work from home, in percentage?",55.0
"In 2024–25, what proportion of workers either did not work from home at all or did so less than once per week, in percentage?",58.0
"In 2024–25, how many kilometres did London residents travel per person per day on average?",11.9
By what percentage was the 2024–25 distance travelled per person per day lower than in 2019–20?,9.0
"What was the average time travelled per person per day for London residents in 2024–25, in minutes?",54.8
"For England residents in 2024, how many kilometres were travelled per person per day on average?",26.8
By what percentage was the 2024 distance travelled per person per day for England residents lower than in 2019?,6.0
"What proportion of London households did not own a car in 2024–25, in percentage?",48.0
"What proportion of inner London households had no car in 2024–25, in percentage?",64.0
"What proportion of outer London households had no car in 2024–25, in percentage?",36.0
"In 2024–25, how many million walking-all-the-way trips per day were made by London residents?",6.2
"In 2024–25, what percentage of all trips made by London residents were walking-all-the-way trips?",38.0
"In 2024–25, what was the walking-all-the-way trip rate for London residents, in trips per person per day?",0.75
"What was the walking-all-the-way trip rate high point in 2022–23, in trips per person per day?",0.81
"In 2024–25, what proportion of walking-all-the-way trips were for leisure, in percentage?",38.0
"In 2024–25, what proportion of walking-all-the-way trips were for shopping and personal business, in percentage?",24.0
"In 2024–25, what proportion of walking-all-the-way trips were for commuting, in percentage?",6.0
"In 2024–25, what proportion of walking-all-the-way trips were for other work-related purposes, in percentage?",1.0
"In 2025, by what percentage did pedestrian activity in central London increase in the first two quarters compared with the same quarters of 2024?",7.0
By approximately what percentage did central London pedestrian activity in 2025 remain below 2019 levels?,10.0
"Across London as a whole, by what percentage did pedestrian flows change between 2024 and 2025?",0.8
"In 2024–25, what percentage of London residents aged 20 and over achieved 20 minutes of physical activity per day through travel?",43.3
What was the corresponding percentage of London residents achieving 20 minutes of physical activity per day in 2023–24?,39.6
What was the percentage of London residents achieving 20 minutes of physical activity per day in 2019–20?,42.4
What is the monitoring target percentage for London residents aged 20 and over to achieve 20 minutes of physical activity per day?,70.0
